Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR1059482,2/3/16,3/3/16,19199979,3878395758,19199979,202,2500,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059482,ERX1139633,MAGIC_96,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905584,SAMEA3598435,simple,4577,Zea mays,E-MTAB-3965:MAGIC_96,,,,,,,no,,,,,GATC biotech,ERA524061,,public,0B3534105C08D23B85C24CF11F84A876,DE1D41F6641D92A847C83A8EEBA9B8CB
ERR1059483,2/3/16,3/3/16,18523371,3741720942,18523371,202,2408,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059483,ERX1139634,MAGIC_97,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905585,SAMEA3598436,simple,4577,Zea mays,E-MTAB-3965:MAGIC_97,,,,,,,no,,,,,GATC biotech,ERA524061,,public,D948E44B471371EC6070A6B7AE314200,B54A8F6173B0108EF28988BEE362E0B3
ERR1059484,2/3/16,3/3/16,17061055,3446333110,17061055,202,2230,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059484,ERX1139635,MAGIC_98,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905586,SAMEA3598437,simple,4577,Zea mays,E-MTAB-3965:MAGIC_98,,,,,,,no,,,,,GATC biotech,ERA524061,,public,DE6A1CA787119BBE5D62BFB5809860DE,130DD8B5E1CC5E20E6CC6E02CDF567C6
ERR1059485,2/3/16,3/3/16,20554532,4152015464,20554532,202,2673,,http://sra-download.ncbi.nlm.nih.gov/srapub/ERR1059485,ERX1139636,MAGIC_99,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,185,62,ILLUMINA,Illumina HiSeq 2000,ERP012784,PRJEB11400,,310720,ERS905587,SAMEA3598438,simple,4577,Zea mays,E-MTAB-3965:MAGIC_99,,,,,,,no,,,,,GATC biotech,ERA524061,,public,B2F983BFA52D12D5002903CC8A5B4970,B0277CAD6986CAB3FC112B89CCF65FA8
SRR039501,4/15/10,5/26/14,6027767,216999612,0,36,115,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR039501,SRX018901,base_cDNA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP002265,PRJNA79627,,79627,SRS058963,SAMN00011087,simple,381124,Zea mays subsp. mays,base,,,,,,,no,,,,,CORNELL,SRA012297,,public,E1D286A11DEA7A6EF08E616403ACED12,B58551D55FD7F376DD6D968AA77B0A85
SRR039502,4/15/10,5/26/14,11622601,406791035,0,35,272,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR039502,SRX018901,base_cDNA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP002265,PRJNA79627,,79627,SRS058963,SAMN00011087,simple,381124,Zea mays subsp. mays,base,,,,,,,no,,,,,CORNELL,SRA012297,,public,B6D236F94610418824DEF719B03F6C3B,5D9E41997342BE88A1731FD314B70A6A
SRR039503,4/15/10,5/26/14,5518421,193144735,0,35,142,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR039503,SRX018902,minus1cm_cDNA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP002265,PRJNA79627,,79627,SRS058964,SAMN00011088,simple,381124,Zea mays subsp. mays,-1cm,,,,,,,no,,,,,CORNELL,SRA012297,,public,3424235BDBB8160B8B035CD0363D0D45,DE1ED075B6A7AEB77A450AAC0B563BF6
SRR039504,4/15/10,5/26/14,9228781,323007335,0,35,230,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR039504,SRX018902,minus1cm_cDNA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP002265,PRJNA79627,,79627,SRS058964,SAMN00011088,simple,381124,Zea mays subsp. mays,-1cm,,,,,,,no,,,,,CORNELL,SRA012297,,public,9BC99A6DFFED48023B07B642E1E83D84,3E3B91576F890D499702195A47BCF5DF
SRR039505,4/15/10,5/26/14,13604831,476169085,0,35,332,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR039505,SRX018903,plus4cm_cDNA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP002265,PRJNA79627,,79627,SRS058965,SAMN00011089,simple,381124,Zea mays subsp. mays,4cm,,,,,,,no,,,,,CORNELL,SRA012297,,public,A922F4DA2001F08734D3DB89DD65FFFD,5695B43DC3A79ED2D54BF1FECC2376D4
SRR039506,4/15/10,5/26/14,13250434,463765190,0,35,317,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR039506,SRX018903,plus4cm_cDNA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP002265,PRJNA79627,,79627,SRS058965,SAMN00011089,simple,381124,Zea mays subsp. mays,4cm,,,,,,,no,,,,,CORNELL,SRA012297,,public,ED43FCB744FBDF97434F85704EA24894,1A0A0A30D57BB0CAA18F7856787959A1
